id,nimi,wiki,imdb,kavi,img,nodeJS,ensiIlta
1,Elämää kuoleman jälkeen,Q86914911,tt10385556,kavi.elonet_elokuva_1603238,elamaaKuolemanJalkeen.jpg,,6.3.2020
2,Emma.,Q65091224,tt9214832,kavi.elonet_elokuva_1613316,emma.jpg,,6.3.2020
3,Bombshell,Q58814589,tt6394270,kavi.elonet_elokuva_1612336,bombshell.jpg,,7.2.2020
4,Birds of Prey,Q57177410,tt7713068,kavi.elonet_elokuva_1612337,birdsOfPrey.jpg,,7.2.2020
5,A Hidden Life,Q27555348,tt5827916,kavi.elonet_elokuva_1612339,aHiddenLife.jpg,,7.2.2020
6,La Belle Époque,Q63213666,tt9172422,kavi.elonet_elokuva_1613385,laBelleEpoque.jpg,,13.3.2020
7,Weathering with You,Q59692464,tt9426210,kavi.elonet_elokuva_1613384,weatheringWithYou.jpg,,13.3.2020
8,Aika jonka sain,Q87904501,tt9777796,kavi.elonet_elokuva_1612002,aikaJonkaSain.jpg,,13.3.2020
9,Mr. Jones,Q30963297,tt6828390,kavi.elonet_elokuva_1613383,mrJones.jpg,,13.3.2020
10,The Cave,Q81924220,tt7178226,kavi.elonet_elokuva_1613321,theCave.jpg,,12.3.2020
11,Se mieletön remppa,Q86594412,tt10449466,kavi.elonet_elokuva_1604816,seMieletonRemppa.jpg,,19.2.2020
12,Les Misérables,Q63246549,tt10199590,kavi.elonet_elokuva_1613315,lesMiserables.jpg,,6.3.2020
13,Parasite,Q61448040,tt6751668,kavi.elonet_elokuva_1612209,parasite.jpg,,13.1.2020
14,Little Women,Q56881140,tt3281548,kavi.elonet_elokuva_1611582,pikkuNaisia.jpg,,31.1.2020
15,Taistelulähetit - 1917,Q62721520,tt8579674,kavi.elonet_elokuva_1612044,taisteluLahetit.jpg,,24.1.2020
16,Ella Bella Bingo,Q106959150,tt9537888,kavi.elonet_elokuva_1612070,ellaBellaBingo.jpg,,24.1.2020
