googleID,NIMI,kaviID
1,Oy Nordisk Film Ab,elonet_yhtio_222218
2,Finnkino Oy,elonet_yhtio_710434
2,Universal Sony Pictures Home Entertainment Nordic & Baltics AB,elonet_yhtio_1491302
3,Oy Nordisk Film Ab,elonet_yhtio_222218
4,SF Studios,elonet_yhtio_926080
5,SF Studios,elonet_yhtio_926080
6,Atlantic Film Oy,elonet_yhtio_1483436
7,Cinema mondo,elonet_yhtio_873301
8,Kuusan Kino Ky,elonet_yhtio_1487859
9,Future Film,elonet_yhtio_222509
10,Fredrik Sträng AB,elonet_yhtio_1491247
11,Oy Nordisk Film Ab,elonet_yhtio_222218
11,Oy Nordisk Film Ab,elonet_yhtio_1107116
12,Cinemanse Oy,elonet_yhtio_1488304
13,Future Film,elonet_yhtio_222509
14,SF Studios,elonet_yhtio_926080
14,Universal Sony Pictures Home Entertainment Nordic & Baltics AB,elonet_yhtio_1491302
15,Oy Nordisk Film Ab,elonet_yhtio_222218
16,Finnkino Oy,elonet_yhtio_710434
16,Universal Sony Pictures Home Entertainment Nordic & Baltics AB,elonet_yhtio_1491302
17,SF Studios,elonet_yhtio_926080
18,Oy Cinema Mondo Ltd.,elonet_yhtio_873301
19,Finnkino Oy,elonet_yhtio_710434
19,Universal Sony Pictures Home Entertainment Nordic & Baltics AB,elonet_yhtio_1491302
20,Cinemanse Oy,elonet_yhtio_1488304
21,SF Studios,elonet_yhtio_926080
22,Oy Cinema Mondo Ltd.,elonet_yhtio_873301
22,Universal Sony Pictures Home Entertainment Nordic & Baltics AB,elonet_yhtio_1491302
23,Oy Cinema Mondo Ltd.,elonet_yhtio_873301
24,Atlantic Film Oy,elonet_yhtio_1483436
25,SF Studios,elonet_yhtio_926080
26,Tuffi Films Oy,elonet_yhtio_1487185
26,Tuffi Films Oy,elonet_yhtio_1487185
26,MetFilm Sales,elonet_yhtio_1491812
26,Cinetic Media,elonet_yhtio_1491813
27,Walt Disney Studios Motion Pictures Finland,elonet_yhtio_1416759
28,Oy Nordisk Film Ab,elonet_yhtio_222218
29,Finnkino Oy,elonet_yhtio_710434
29,Universal Sony Pictures Home Entertainment Nordic & Baltics AB,elonet_yhtio_1491302
30,Cinemanse Oy,elonet_yhtio_1488304
31,SF Studios,elonet_yhtio_926080
32,Oy Nordisk Film Ab,elonet_yhtio_222218
33,Finnkino Oy,elonet_yhtio_710434
34,Finnkino Oy,elonet_yhtio_710434
34,Universal Sony Pictures Home Entertainment Nordic & Baltics AB,elonet_yhtio_1491302
35,Finnkino Oy,elonet_yhtio_710434
35,Universal Sony Pictures Home Entertainment Nordic & Baltics AB,elonet_yhtio_1491302
36,Fredrik Sträng AB,elonet_yhtio_1491247
37,Black Lion Pictures Oy,elonet_yhtio_1486370
37,VLMedia Oy,elonet_yhtio_219880
37,Whitepoint USA,elonet_yhtio_1491839
38,Future Film Oy,elonet_yhtio_222509
39,Egmont Entertainment Oy,elonet_yhtio_222218
40,SF Studios,elonet_yhtio_926080
40,Universal Sony Pictures Home Entertainment Nordic & Baltics AB,elonet_yhtio_1491302
41,Oy Nordisk Film Ab,elonet_yhtio_222218
41,Oy Nordisk Film Ab,elonet_yhtio_1107116
42,B-Plan Distribution Oy,elonet_yhtio_1487844
42,Väike Objekt A OÜ,elonet_yhtio_1492092
43,Oy Nordisk Film Ab,elonet_yhtio_222218
44,Pirkanmaan elokuvakeskus r.y.,elonet_yhtio_222200
45,Finnkino Oy,elonet_yhtio_710434
45,Universal Sony Pictures Home Entertainment Nordic & Baltics AB,elonet_yhtio_1491302
46,SF Studios,elonet_yhtio_926080
47,Cinemanse Oy,elonet_yhtio_1488304
48,Oy Cinema Mondo Ltd.,elonet_yhtio_873301
49,Future Film Oy,elonet_yhtio_222509
52,Cinemanse Oy,elonet_yhtio_1488304
53,Pirkanmaan elokuvakeskus r.y.,elonet_yhtio_222200
54,Cinemanse Oy,elonet_yhtio_1488304
55,Future Film,elonet_yhtio_222509
56,KinoScreen Illusion Ltd. Oy,elonet_yhtio_222792
57,SF Studios,elonet_yhtio_926080
57,Universal Sony Pictures Home Entertainment Nordic & Baltics AB,elonet_yhtio_1491302
58,Atlantic Film Oy,elonet_yhtio_1483436
59,Cinemanse Oy,elonet_yhtio_1488304
60,Oy Nordisk Film Ab,elonet_yhtio_222218
61,Scanbox,elonet_yhtio_214807
62,Black Lion Pictures Oy,elonet_yhtio_1486370
62,VLMedia Oy,elonet_yhtio_219880
63,Scanbox Entertainment Finland Oy,elonet_yhtio_491542
64,B-Plan Distribution Oy,elonet_yhtio_1487844
65,Oy Nordisk Film Ab,elonet_yhtio_222218
66,Oy Nordisk Film Ab,elonet_yhtio_222218
66,Oy Nordisk Film Ab,elonet_yhtio_1107116
67,Cinemanse Oy,elonet_yhtio_1488304
68,Finnkino Oy,elonet_yhtio_710434
68,Universal Sony Pictures Home Entertainment Nordic & Baltics AB,elonet_yhtio_1491302
69,SF Studios,elonet_yhtio_926080
70,Walt Disney Studios Motion Pictures Finland,elonet_yhtio_1416759
71,Finnkino Oy,elonet_yhtio_710434
71,SF Studios,elonet_yhtio_926080
72,Egmont Entertainment Oy,elonet_yhtio_222218
73,Oy Nordisk Film Ab,elonet_yhtio_222218
74,Black Lion Pictures Oy,elonet_yhtio_1486370
74,VLMedia Oy,elonet_yhtio_219880
75,SF Studios,elonet_yhtio_926080
76,Night Visions -elokuvafestivaali,elonet_yhtio_1490877
77,Scanbox Entertainment Finland Oy,elonet_yhtio_491542
78,Oy Nordisk Film Ab,elonet_yhtio_222218
79,Cinemanse Oy,elonet_yhtio_1488304
80,SF Studios,elonet_yhtio_926080
81,SF Studios,elonet_yhtio_926080
