ID,Manner,Maa,Sarja,Nimi,Pelaajia
1,Eurooppa,Italia,Serie A,Lazio,4
2,Eurooppa,Albania,Kategoria superiore,Skënderbeu Korçë,1
3,Eurooppa,Albania,Kategoria superiore,Partizani Tirana,1
4,Eurooppa,Ranska,Ligue 1,FC Nantes,3
5,Eurooppa,Azerbaidžan,Azerbaidžanin Valioliiga,Qarabağ FK,1
6,Eurooppa,Kreikka,Kreikan Superliiga,PAS Giannina,1
7,Eurooppa,Saksa,Saksan Bundesliiga,FC Köln,3
8,Eurooppa,Italia,Serie A,Napoli,6
9,Eurooppa,Italia,Serie A,Frosinone fc,1
11,Eurooppa,Sveitsi,Swiss Super League,Lugano,1
12,Eurooppa,Kroatia,Kroatian ykkösliiga,Rijeka,3
13,Eurooppa,Italia,Serie B,Calcio Como,1
14,Eurooppa,Saksa,2. Bundesliiga,SC Freiburg,1
15,Eurooppa,Sveitsi,Swiss Challenge League,FC Zürich,1
16,Eurooppa,Kreikka,Kreikan Superliiga,PAOK,2
17,Eurooppa,Italia,Serie B,Deldino Pescara 1936,1
18,Pohjois-Amerikka,Yhdysvallat,Major League Soccer,Colorado Rapids,1
19,Eurooppa,Liechtenstein,Swiss Super League,FC Vaduz,1
20,Eurooppa,Turkki,Turkin Superliiga,Medipol Başakşehir Futbol Kulübü,2
21,Eurooppa,Englanti,Englannin Valioliiga,Chelsea,6
22,Eurooppa,Belgia,Jupiler Pro League,KV Mechelen,1
23,Eurooppa,Englanti,Englannin Valioliiga,Liverpool FC,12
24,Eurooppa,Englanti,Englannin Valioliiga,Tottenham Hotspur FC,11
25,Eurooppa,Turkki,Turkin Superliiga,Galatasaray SK,5
26,Pohjois-Amerikka,Kanada,Major League Soccer,Montreal Impact,1
27,Eurooppa,Belgia,Jupiler Pro League,KRC Genk,1
28,Eurooppa,Belgia,Jupiler Pro League,KV Oostende,1
29,Eurooppa,Belgia,Jupiler Pro League,Club Brügge,1
30,Eurooppa,Espanja,Primera División,FC Barcelona,9
31,Eurooppa,Englanti,Englannin Valioliiga,Manchester United,10
32,Eurooppa,Italia,Serie A,AS Roma,8
33,Eurooppa,Venäjä,Premier League Russia,FK Zenit,7
34,Eurooppa,Ranska,Ligue 1,Olympique Marseille,2
35,Eurooppa,Espanja,Primera División,Club Atlético de Madrid,4
36,Eurooppa,Englanti,Englannin Valioliiga,Everton FC,6
37,Eurooppa,Englanti,Englannin Valioliiga,Southampton,7
38,Eurooppa,Englanti,Englannin Valioliiga,Manchester City,6
39,Eurooppa,Englanti,Mestaruussarja,Burnley FC,3
40,Eurooppa,Englanti,Englannin Valioliiga,Arsenal FC,9
41,Eurooppa,Englanti,Englannin Valioliiga,Leicester City,5
42,Eurooppa,Portugali,Primeira Liga,FC Porto,2
43,Eurooppa,Espanja,Primera División,Sevilla,4
44,Eurooppa,Espanja,Primera División,Real Madrid C.F.,8
45,Eurooppa,Espanja,Primera División,Villarreal CF,1
46,Eurooppa,Saksa,Saksan Bundesliiga,FC Bayern München,10
47,Eurooppa,Espanja,Primera División,Celta Vigo,2
48,Eurooppa,Italia,Serie A,Juventus,12
49,Eurooppa,Espanja,Primera División,Athletic Club Bilbao,2
50,Eurooppa,Englanti,Englannin Valioliiga,Stoke City,5
51,Eurooppa,Englanti,Championship,Sheffield Wednesday,3
52,Eurooppa,Englanti,Englannin Valioliiga,West Ham United,4
53,Eurooppa,Englanti,Englannin Valioliiga,Sunderland AFC,2
54,Eurooppa,Englanti,Englannin Valioliiga,Aston Villa,1
55,Eurooppa,Englanti,Championship,Derby County,4
56,Eurooppa,Englanti,Championship,Blackburn Rovers,2
57,Eurooppa,Englanti,Championship,Norwich City FC,4
58,Eurooppa,Englanti,Englannin Valioliiga,West Bromwich Albion,4
59,Eurooppa,Englanti,Englannin Valioliiga,Hull City,1
60,Eurooppa,Englanti,Championship,Reading,4
61,Pohjois-Amerikka,Yhdysvallat,MLS,LA Galaxy,1
62,Eurooppa,Englanti,Championship,Ipswich Town,1
63,Eurooppa,Ranska,Ligue 1,Paris Saint-Germain FC,4
64,Eurooppa,Italia,Serie A,Fiorentina,5
65,Eurooppa,Italia,Serie A,AC Milan,2
66,Eurooppa,Italia,Serie A,Bologna,1
67,Eurooppa,Italia,Serie A,Inter Milano,3
68,Eurooppa,Italia,Serie A,Torino,3
69,Eurooppa,Itävalta,Itävallan Bundesliiga,Austria Wien,1
