"FID","ID","Nimi","Namn","Name","Osoite","Adress","Kaupunki","Stad","Operaattor","Kapasiteet","x","y","Lainauksia","medianLainaMatka","medianLainaAika","Palautuksia","medianPalautusMatka","medianPalautusAika"
1,"501","Hanasaari","Hanaholmen","Hanasaari","Hanasaarenranta 1","Hanaholmsstranden 1","Espoo","Esbo","CityBike Finland",10,24.840319,60.16582,684,3714,1127.5,677,3992,1165
2,"503","Keilalahti","Kägelviken","Keilalahti","Keilalahdentie 2","Kägelviksvägen 2","Espoo","Esbo","CityBike Finland",28,24.827467,60.171524,382,3510,987,357,3301,989
3,"505","Westendinasema","Westendstationen","Westendinasema","Westendintie 1","Westendvägen 1","Espoo","Esbo","CityBike Finland",16,24.805758,60.168266,628,2886,893,621,2732,872
4,"507","Golfpolku","Golfstigen","Golfpolku","Golfpolku 3","Golfstigen 3","Espoo","Esbo","CityBike Finland",16,24.796136,60.168143,211,1986,609,190,2035.5,619
5,"509","Revontulentie","Norrskensvägen","Revontulentie","Revontulentie 10","Norrskensvägen 10","Espoo","Esbo","CityBike Finland",30,24.802938,60.171551,501,2556,829,505,2280,695
6,"511","Sateentie","Regnvägen","Sateentie","Sateentie 2","Regnvägen 2","Espoo","Esbo","CityBike Finland",18,24.810688,60.173424,543,2530,782,540,2492,794
7,"513","Hakalehto","Hagliden","Hakalehto","Merituulentie 18","Havsvindsvägen 18","Espoo","Esbo","CityBike Finland",24,24.79139,60.173567,685,1631,532,659,1477,498
8,"515","Oravannahkatori","Gråskinnstorget","Oravannahkatori","Oravannahkatori 1","Gråskinnstorget 1","Espoo","Esbo","CityBike Finland",16,24.792559,60.175769,347,1239,385,324,1300,489
9,"517","Länsituuli","Västanvinden","Länsituuli","Länsituulenkuja 3","Västanvindsgränden 3","Espoo","Esbo","CityBike Finland",24,24.802049,60.175358,1231,1482,425,1223,1488,468
10,"518","Tuulimäki","Väderbacken","Tuulimäki","Itätuulenkuja 11","Östanvindsgränden 11","Espoo","Esbo","CityBike Finland",18,24.806051,60.174144,202,2546,756.5,196,2401,666
11,"519","Tapionaukio","Tapioplatsen","Tapionaukio","Tapionaukio 9","Tapioplatsen 9","Espoo","Esbo","CityBike Finland",26,24.805825,60.176168,1059,1764,559,1066,1536,483
12,"521","Kulttuuriaukio","Kulturplatsen","Kulttuuriaukio","Kulttuuriaukio 2","Kulturplatsen 2","Espoo","Esbo","CityBike Finland",30,24.803942,60.177588,665,1915,621,631,1837,567
13,"523","Ahertajantie","Flitarvägen","Ahertajantie","Ahertajantie 1","Flitargränden 1","Espoo","Esbo","CityBike Finland",20,24.797984,60.17875,360,1563,450.5,370,1525,510.5
14,"525","Mäntyviita","Tallbysket","Mäntyviita","Mäntyviita 2","Tallbysket 2","Espoo","Esbo","CityBike Finland",10,24.810974,60.178702,519,1453,434,517,1337,452
15,"527","Otsolahti","Björnviken","Otsolahti","Otsolahdentie 18","Björnviksvägen 18","Espoo","Esbo","CityBike Finland",18,24.817423,60.178655,686,1325,388,687,1418,466
16,"529","Keilaniemi (M)","Kägeludden (M)","Keilaniemi (M)","Keilaniementie 4","Kägeluddsvägen 4","Espoo","Esbo","CityBike Finland",40,24.82895,60.175233,711,1964,599,651,1823,563
