Kriitikko,Elokuvan nimi,Tähtiä,Linkki,Julkaisia
Pekka Eronen,Elämää kuoleman jälkeen,4,Aamulehti 6.3.2020,Aamulehti
Päivi Valotie,Elämää kuoleman jälkeen,3,Turun Sanomat 6.3.2020,Turun Sanomat
Krister Uggeldahl,Elämää kuoleman jälkeen,3,Hufvudstadsbladet 6.3.2020,Hufvudstadsbladet
Riitta Lehtimäki,Elämää kuoleman jälkeen,4,Eeva 3/2020,Eeva
Jussi Huhtala,Elämää kuoleman jälkeen,3,https://www.episodi.fi/elokuvat/elamaa-kuoleman-jalkeen/,Episodi
Antti Selkokari,Elämää kuoleman jälkeen,4,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/klaus-haron-hienovireinen-ja-kaunis-elamaa-kuoleman-jalkeen-elokuva-yltaa-tekijansa-parhaimmistoon/,Kulttuuritoimitus.fi
Hannu Björkbacka,Elämää kuoleman jälkeen,3,Keskipohjanmaa 7.3.2020,Keskipohjanmaa
Kaisu Tervonen,Elämää kuoleman jälkeen,3,Suomen Kuvalehti 10/2020,Suomen Kuvalehti
Niko Ikonen,Elämää kuoleman jälkeen,3,Episodi 2/2021,Episodi
Hannu Liekso,Elämää kuoleman jälkeen,3,Episodi 2/2021,Episodi
Jesse Raatikainen,Elämää kuoleman jälkeen,3,Episodi 2/2021,Episodi
Jouni Vikman,Elämää kuoleman jälkeen,3,Episodi 2/2021,Episodi
Janne Kaakko,Emma.,4,Aamulehti 6.3.2020,Aamulehti
Päivi Valotie,Emma.,3,Turun Sanomat 6.3.2020,Turun Sanomat
Jouni Vikman,Emma.,3,https://www.episodi.fi/elokuvat/emma/,Episodi
Niko Ikonen,Emma.,3,Episodi 4/2020,Episodi
Hannu Liekso,Emma.,3,Episodi 4/2020,Episodi
Leena Virtanen,Bombshell,3,Helsingin Sanomat 7.2.2020,Helsingin Sanomat
Pekka Eronen,Bombshell,2,Aamulehti 7.2.2020,Aamulehti
Päivi Valotie,Bombshell,3,Turun Sanomat 7.2.2020,Turun Sanomat
Jussi Virratvuori,Bombshell,3,Etelä-Suomen Sanomat 7.2.2020,Etelä-Suomen Sanomat
Sara Ehnholm Hielm,Bombshell,3,Hufvudstadsbladet 7.2.2020,Hufvudstadsbladet
Jesse Raatikainen,Bombshell,4,https://www.episodi.fi/elokuvat/bombshell-hiljaisuuden-rikkojat/,Episodi
Kaarina Lehtisalo,Bombshell,3,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/bombshell-kertaa-fox-kanavan-vuoden-2016-ahdisteluskandaalin-vaiheet-roger-ailesin-roolissa-john-lithgow/,Kulttuuritoimitus.fi
Martta Kaukonen,Bombshell,4,https://www.menaiset.fi/artikkeli/ihmiset-ja-ilmiot/kulttuuri/mita-fox-uutiskanavalla-tapahtui-vuosi-ennen-metoota,Me Naiset
Niko Ikonen,Bombshell,3,Episodi 1/2020,Episodi
Marta Balaga,Bombshell,3,Episodi 2/2020,Episodi
Hannu Liekso,Bombshell,3,Episodi 2/2020,Episodi
Maria Lättilä,Bombshell,3,Episodi 2/2020,Episodi
Jouni Vikman,Bombshell,4,Episodi 2/2020,Episodi
Juho Typpö,Birds of Prey,2,Helsingin Sanomat 7.2.2020,Helsingin Sanomat
Kari Salminen,Birds of Prey,2,Turun Sanomat 7.2.2020,Turun Sanomat
Martina Moliis-Mellberg,Birds of Prey,3,Hufvudstadsbladet 7.2.2020,Hufvudstadsbladet
Jouni Vikman,Birds of Prey,3,https://www.episodi.fi/elokuvat/birds-of-prey/,Episodi
Riikka Oksanen,Birds of Prey,3.5,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/supersankariviihdetta-vahaisilla-supervoimilla-ja-rikollisilla-sankareilla-arvostelussa-birds-of-prey/,Kulttuuritoimitus.fi
